Interpreta
idObra;idActor;idPersonaje
809;20936;5
809;24567;5
809;27803;5
809;31948;5
809;31985;11
809;33736;11
809;34114;11
809;35184;5
809;36680;775
809;9625;5
810;11980;776
810;24708;9
810;9625;9
813;16003;9
814;7101;5
814;22580;5
821;2783;143
821;3104;143
821;8020;143
821;8098;777
821;8917;777
821;15148;143
821;24272;143
821;24582;143
821;27182;778
821;32443;777
821;33970;779
821;34435;777
821;37707;780
821;37921;143
822;4659;143
822;8020;143
822;8098;777
822;8917;777
822;10945;777
822;10728;777
822;16325;143
822;20072;143
822;24272;143
822;25103;777
822;25981;777
822;31637;143
822;37871;143
822;37921;143
824;2753;5
824;3017;143
824;8020;11
824;13501;777
824;15148;143
824;29408;143
824;29424;5
824;37871;143
825;1350;781
825;5043;782
825;6381;783
825;11239;784
825;14009;785
825;15321;786
825;26110;787
825;27714;788
825;28286;789
825;29928;790
825;31613;791
827;1408;102
827;30387;101
830;26340;7
836;31571;7
836;35682;6
837;819;5
837;3509;5
837;21273;5
837;22380;5
837;36772;5
841;38279;183
842;22859;5
842;22859;24
847;5775;5
847;2283;10
847;5391;10
847;7037;10
847;17936;10
847;19835;10
847;22320;10
847;29375;10
847;33395;14
847;34590;10
847;35413;10
854;70;792
854;2061;793
854;8372;794
854;9406;795
854;17619;796
854;17826;22
854;18300;797
854;18680;798
854;20940;799
854;21888;800
854;33882;801
855;4410;5
855;9959;5
855;16938;802
855;26074;803
855;26817;11
855;31016;5
855;36052;5
860;1359;9
861;9484;9
862;7590;6
864;14943;6
864;17148;9
864;22467;5
864;35754;11
866;4410;804
866;20303;805
866;24266;806
866;32064;807
867;14685;808
867;31385;809
867;36073;810
867;9731;811
869;11010;6
872;6345;7
872;8175;7
875;124;812
875;11490;339
875;15388;341
875;17281;343
875;19925;813
875;22752;346
875;24743;347
875;27678;179
875;27678;341
875;28381;344
875;37588;813
879;33366;814
879;36073;815
882;1344;816
882;1529;817
882;1924;818
882;5635;819
882;7405;820
882;10895;821
882;12601;822
882;24137;823
882;29712;824
882;33750;825
885;1747;7
885;6755;6
885;7670;7
885;18087;7
885;29399;826
886;33967;12
892;13160;11
892;26701;5
892;34114;6
893;7879;827
894;1189;22
898;3981;828
898;11522;9
904;5216;829
904;17640;355
904;29035;830
904;31952;831
904;32416;832
908;29820;9
909;128;833
909;3375;834
909;3767;835
909;4219;836
909;4673;834
909;6387;837
909;7389;838
909;8829;839
909;8921;840
909;9190;841
909;9521;842
909;9964;843
909;10390;844
909;10540;845
909;10551;846
909;10740;847
909;15299;848
909;15949;849
909;16231;850
909;16496;851
909;17695;852
909;17695;853
909;21041;854
909;21412;855
909;21965;856
909;23765;857
909;23765;858
909;23885;859
909;24302;860
909;26445;861
909;26447;862
909;27305;863
909;32218;864
