Personaje
idPersonaje;descripcion
1035;Gazpacho
1036;Thorny
1037;Enfermera
1038;Martín
1039;Anube
1040;Berta #2
1041;Ernesto
1042;P-Goto
1043;Yupi
1044;Berta #1
1045;Teo
1046;Abuela
1047;Astrako
1048;Lara
1049;Sandra
1050;Bella, la gallina
1051;Hans
1052;Burgomaestre
1053;Rat Ratter
1054;Gumi, sobrino del duende
1055;Tonto, el burro
1056;Mami, la vaca
1057;Ocarina, la oca
1058;Lupo, el perro
1059;Tapón
1060;Bestia
1061;Gum, el duende del bosque
1062;Koki, el gallo
1063;Genio Ingenioso
1064;Otto
1065;Chef, jefe de los ladrones
1066;Burgomaestra
1067;Burlón, el gato
1068;Socorrito
1069;Tonecho
1070;Herself . Guest
1071;Reportero en Hollywood
1072;Mari Pili
1073;Esquilator
1074;Popeye
1075;Botijo
1076;La Maru
1077;Nomeolvides
1078;Matías
1079;Guardia Jurado
1080;González
1081;Perales
1082;Mojamé
1083;Fernández
1084;El Pirata
1085;El Maki
1086;Purita
1087;María Sarmiento
1088;Miguelito
1089;Noelia
1090;Carmina
1091;Felipe
1092;Belinda
1093;Boxer
1094;Marie-Galante
1095;Sailor
1096;Andrés
1097;Carmela
1098;Xavier
1099;Nicanor
1100;Leticia
1101;Mariela
1102;Padre Hilario
1103;Rene
1104;Kike
1105;Rosalia
1106;Reina
1107;Camacho
1108;Rufino
1109;Esperanza
1110;la Chueca
1111;Yoli
1112;Melissa
1113;Zuleima
1114;Maria
1115;Claudia Sandoval
1116;Tato
1117;Marielena
1118;Fucha
1119;Urbano
1120;Leon
1121;Esteban
1122;Chela
1123;Valentina
1124;Enriqueta
1125;Cecilia
1126;Angel
1127;Nikky
1128;Telma
1129;Andy
1130;Meche
1131;Luis Felipe Sandoval
1132;Tete
1133;Winner
1134;Pepote
1135;Maya
1136;Trampas
1137;Fary
1138;Sonia
1139;Tranvía Vidal
1140;Rosi
1141;Juanvi
1142;Felisa
1143;Amadeo
1144;Marta
1145;Vicky
1146;Ángeles
1147;Maya #2
1148;Carlitos
1149;Desirée
1150;Whitney Houston
1151;John Travolta
1152;Jane Russell
1153;Marilyn Monroe
1154;Locomía
1155;Isabel Pantoja
1156;Lola Flores
1157;Liza Minnelli
1158;Olivia Newton John
1159;Sara Montiel
1160;Stevie Wonder
1161;Duo Diná mico
1162;Madonna
1163;Joselito
1164;Marta Sánchez
1165;Elena Santa María
1166;Michael Jackson
1167;Rosario
1168;Ana Torroja
1169;Roxette
1170;Gloria Estefan
1171;Amistades Peligrosas
1172;Bryan Adams
1173;Rita Pavone
1174;José Luis Perales
1175;(Michael Jackson
1176;Sergio Dalma
1177;Gloria Trevi
1178;Rosario Flores
1179;Raphael
1180;Mariah Carey
1181;Laura Pausini
1182;Paloma San Basilio
1183;Heinrich
1184;Helmut
1185;Neville Savage
1186;Jemma Snipe
1187;Hacker Weston
1188;David Fowler
1189;Sandy
1191;Kat Fowler
1192;Ilse Kistenmann
1193;Gisela
1194;Spike Baxter
1195;Herr von Steinfurth
1196;Hoshi Tanaka
1197;Ken Tanaka
1198;Hans Peter
1199;Sir Joshua Cranberry
1200;Susie
1201;Albert Wiggins
1202;Centauri Kid
1203;Gertrude Snipe
1204;Oliver Olli Bergmann
1205;Jan
1206;Rebeca
1207;Trombonetti
1208;Bob Detroit
1209;Martha ONeill
1210;Sr. ONeill
1211;Iván
1212;Corina
1213;Bruno
1214;Henk
1215;Mr. Money
1216;Bailosolo
1217;Mr. Fool
1218;Paolo
1219;Srta. Irma
1220;Aduanero de Bestiolandia
1221;Comisario - Safari Callejero
1222;Mac, el Masticagañotes
1223;Voces adicionales
1224;Agente Mostáchez
1225;Inti
1226;Achuar
1227;Eduardo
1228;Domènec Tubau
1229;Amadeu Cabanilles
1230;Raimon Montsolís
1231;Agustina Molins
1232;Mateu Montsolís
1233;Neus
1234;Eduard Montsolís
1235;Pietat
1236;Antònia
1237;Marçal Castro
1238;Lluïssa Solano
1239;Sebastià Vilalta
1240;Clara Bellmunt
1241;Isabel Pomer
1242;Maurici Castro
1243;Dr. Joan Vidal-Garriga
1244;Laura Vilalta
1245;Gerard Vilalta
1246;Sofia Palau
1247;Aurora Jané
1248;Helena Savall
1249;Màrius Bertran
1250;Jordi
1251;Eulàlia Montsolís
1252;Quim Balaguer
1253;Enric Coll
1254;Jordi Camps
1255;Barragán
1256;Representative Image
1257;Nostromo
1258;Gen. Montero
1259;Martin Decoud
1260;Capt. Mitchell
1261;Ramirez
1262;Teresa Viola
1263;Gen. Barrios
1264;Hirsch
1265;Joshua C. Holroyd
1266;Don Pepe
1267;Pedro Montero
1268;Dr. Monygham
1269;Charles Gould
1270;Giorgio Viola
1271;Antonia Avellanos
1272;Maggiore
1273;Father Corbelan
1274;Sir John
1275;President Ribiera
1276;Don Jose Avellanos
1277;Giselle Viola
1278;Linda Viola
1279;Don Ambrosio
1280;Hernandez
